Weight,Nested,Procedure,prime,target,primecond,answer,isi,lexicality
1,,TrialProc1,TRAIT,characteristic,1,l,50,1
1,,TrialProc1,SELF,me,1,l,50,1
1,,TrialProc1,SCENERY,view,1,l,50,1
1,,TrialProc1,HOPELESS,homeless,1,l,50,1
1,,TrialProc1,BEAN,green,1,l,50,1
1,,TrialProc1,ROAM,wander,1,l,50,1
1,,TrialProc1,DRAPES,curtains,1,l,50,1
1,,TrialProc1,REEF,coral,1,l,50,1
1,,TrialProc1,SLURP,drink,1,l,50,1
1,,TrialProc1,COLESLAW,cabbage,1,l,50,1
1,,TrialProc1,OKAY,alright,1,l,50,1
1,,TrialProc1,DRIP,drop,1,l,50,1
1,,TrialProc1,BREEZEWAY,walkway,1,l,50,1
1,,TrialProc1,CURSIVE,writing,1,l,50,1
1,,TrialProc1,COMPACT,disc,1,l,50,1
1,,TrialProc1,LID,cover,1,l,50,1
1,,TrialProc1,PIOUS,holy,1,l,50,1
1,,TrialProc1,SQUEAK,mouse,1,l,50,1
1,,TrialProc1,INSTINCT,basic,1,l,50,1
1,,TrialProc1,HALF,whole,1,l,50,1
1,,TrialProc1,SILK,satin,1,l,50,1
1,,TrialProc1,OBSTACLE,course,1,l,50,1
1,,TrialProc1,GENEROUS,give,1,l,50,1
1,,TrialProc1,CURIOUS,george,1,l,50,1
1,,TrialProc1,OZONE,layer,1,l,50,1
1,,TrialProc1,PICTURE,frame,1,l,50,1
1,,TrialProc1,MALL,shop,1,l,50,1
1,,TrialProc1,STUDENT,teacher,1,l,50,1
1,,TrialProc1,EARNESTNESS,honesty,1,l,50,1
1,,TrialProc1,MARCH,april,1,l,50,1
1,,TrialProc1,PLUS,minus,1,l,50,1
1,,TrialProc1,MEANINGFUL,relationship,1,l,50,1
1,,TrialProc1,HURT,pain,1,l,50,1
1,,TrialProc1,TOGETHER,apart,1,l,50,1
1,,TrialProc1,MEN,women,1,l,50,1
1,,TrialProc1,CONSTRUCTION,build,1,l,50,1
1,,TrialProc1,FITNESS,healthy,1,l,50,1
1,,TrialProc1,CONNECT,dots,1,l,50,1
1,,TrialProc1,DARING,brave,1,l,50,1
1,,TrialProc1,SNEAK,preview,1,l,50,1
1,,TrialProc1,COMPONENTS,parts,1,l,50,1
1,,TrialProc1,HOOT,owl,1,l,50,1
1,,TrialProc1,DIAMETER,circle,1,l,50,1
1,,TrialProc1,YEARS,age,1,l,50,1
1,,TrialProc1,FAN,air,1,l,50,1
1,,TrialProc1,SHAKE,rattle,1,l,50,1
1,,TrialProc1,FINGER,hand,1,l,50,1
1,,TrialProc1,SIX,seven,1,l,50,1
1,,TrialProc1,MEAT,steak,1,l,50,1
1,,TrialProc1,TOE,foot,1,l,50,1
