SubjectNumber,SessionNumber,SOA,PrimeCondition,Accuracy,Mean RT,StDev RT
1,1,200,first associate related,1.00,683.10,172.19
1,1,200,other associate related,1.00,694.12,161.95
1,1,200,first associate unrelated,1.00,711.60,142.31
1,1,200,other associate unrelated,0.98,687.55,166.10
1,1,1200,first associate related,0.98,701.58,206.68
1,1,1200,other associate related,0.98,738.53,139.30
1,1,1200,first associate unrelated,0.94,716.47,111.02
1,1,1200,other associate unrelated,1.00,712.04,105.20
1,2,200,first associate related,0.96,741.29,291.31
1,2,200,other associate related,0.98,698.60,177.00
1,2,200,first associate unrelated,1.00,748.56,260.28
1,2,200,other associate unrelated,0.98,714.71,148.87
1,2,1200,first associate related,0.98,706.30,160.80
1,2,1200,other associate related,0.98,670.76,105.83
1,2,1200,first associate unrelated,0.96,688.02,140.39
1,2,1200,other associate unrelated,1.00,703.53,147.51
2,1,200,first associate related,1.00,595.75,144.74
2,1,200,other associate related,1.00,654.77,164.38
2,1,200,first associate unrelated,0.96,667.71,147.57
2,1,200,other associate unrelated,0.98,644.94,133.81
2,1,1200,first associate related,0.98,521.32,115.81
2,1,1200,other associate related,0.98,560.39,122.22
2,1,1200,first associate unrelated,1.00,583.79,97.16
2,1,1200,other associate unrelated,0.94,588.94,114.04
2,2,200,first associate related,0.96,578.12,173.38
2,2,200,other associate related,1.00,547.15,98.13
2,2,200,first associate unrelated,0.94,577.92,115.46
2,2,200,other associate unrelated,0.98,593.48,135.72
2,2,1200,first associate related,0.96,535.38,129.93
2,2,1200,other associate related,1.00,551.21,100.43
2,2,1200,first associate unrelated,0.96,562.74,130.05
2,2,1200,other associate unrelated,0.96,576.24,125.26
3,1,200,first associate related,0.94,588.98,162.14
3,1,200,other associate related,0.96,615.96,128.21
3,1,200,first associate unrelated,0.94,656.02,162.53
3,1,200,other associate unrelated,0.98,658.02,155.56
3,1,1200,first associate related,1.00,564.29,162.35
3,1,1200,other associate related,0.98,599.76,169.53
3,1,1200,first associate unrelated,0.92,673.44,298.38
3,1,1200,other associate unrelated,0.96,639.02,257.98
3,2,200,first associate related,0.94,519.04,135.19
3,2,200,other associate related,0.98,496.94,96.78
3,2,200,first associate unrelated,0.94,543.78,148.00
3,2,200,other associate unrelated,0.85,527.52,109.08
3,2,1200,first associate related,0.96,520.96,112.97
3,2,1200,other associate related,0.94,549.10,110.61
3,2,1200,first associate unrelated,0.90,591.26,158.93
3,2,1200,other associate unrelated,0.98,570.65,125.74
4,1,200,first associate related,0.96,695.04,331.55
4,1,200,other associate related,0.98,701.29,296.74
4,1,200,first associate unrelated,1.00,750.16,262.80
4,1,200,other associate unrelated,1.00,665.10,176.48
4,1,1200,first associate related,1.00,802.23,239.70
4,1,1200,other associate related,0.96,846.69,263.58
4,1,1200,first associate unrelated,0.98,812.92,245.16
4,1,1200,other associate unrelated,0.98,903.41,332.71
4,2,200,first associate related,1.00,735.60,279.12
4,2,200,other associate related,0.98,834.29,298.10
4,2,200,first associate unrelated,1.00,784.71,283.61
4,2,200,other associate unrelated,0.96,733.24,213.02
4,2,1200,first associate related,0.98,888.29,414.75
4,2,1200,other associate related,0.98,832.14,329.34
4,2,1200,first associate unrelated,1.00,758.52,246.22
4,2,1200,other associate unrelated,0.96,761.94,255.64
5,1,200,first associate related,1.00,621.38,202.28
5,1,200,other associate related,1.00,577.52,175.93
5,1,200,first associate unrelated,0.96,641.16,220.73
5,1,200,other associate unrelated,0.96,593.16,186.99
5,1,1200,first associate related,1.00,559.90,145.10
5,1,1200,other associate related,1.00,567.12,147.09
5,1,1200,first associate unrelated,0.98,592.20,168.62
5,1,1200,other associate unrelated,0.98,637.20,213.04
5,2,200,first associate related,0.98,551.04,177.98
5,2,200,other associate related,0.98,516.16,115.07
5,2,200,first associate unrelated,1.00,574.79,147.04
5,2,200,other associate unrelated,0.98,578.86,181.45
5,2,1200,first associate related,0.98,522.96,139.34
5,2,1200,other associate related,1.00,524.98,174.28
5,2,1200,first associate unrelated,0.96,571.70,190.87
5,2,1200,other associate unrelated,1.00,558.81,164.92
6,1,200,first associate related,0.98,537.76,95.04
6,1,200,other associate related,0.98,567.82,151.56
6,1,200,first associate unrelated,1.00,568.56,112.34
6,1,200,other associate unrelated,0.98,594.73,150.63
6,1,1200,first associate related,0.98,573.53,92.35
6,1,1200,other associate related,1.00,597.90,114.50
6,1,1200,first associate unrelated,1.00,625.33,157.92
6,1,1200,other associate unrelated,1.00,602.83,130.26
6,2,200,first associate related,0.96,565.34,155.05
6,2,200,other associate related,0.98,570.33,121.10
6,2,200,first associate unrelated,0.98,593.00,148.89
6,2,200,other associate unrelated,1.00,579.52,139.15
6,2,1200,first associate related,0.98,553.04,91.99
6,2,1200,other associate related,0.98,562.13,114.86
6,2,1200,first associate unrelated,1.00,585.16,131.15
6,2,1200,other associate unrelated,0.96,556.62,104.05
7,1,200,first associate related,0.98,532.44,160.26
7,1,200,other associate related,0.96,510.44,91.51
7,1,200,first associate unrelated,0.90,555.32,125.56
7,1,200,other associate unrelated,0.96,556.72,117.40
7,1,1200,first associate related,0.98,534.78,87.93
7,1,1200,other associate related,0.98,574.37,125.94
7,1,1200,first associate unrelated,0.98,560.08,92.15
7,1,1200,other associate unrelated,0.94,562.00,118.24
7,2,200,first associate related,1.00,545.08,123.06
7,2,200,other associate related,0.98,563.76,111.11
7,2,200,first associate unrelated,0.96,561.04,99.76
7,2,200,other associate unrelated,0.96,589.12,133.25
7,2,1200,first associate related,0.98,565.69,107.68
7,2,1200,other associate related,0.98,591.35,140.12
7,2,1200,first associate unrelated,0.98,604.20,111.17
7,2,1200,other associate unrelated,0.98,574.98,95.40
8,1,200,first associate related,1.00,525.40,96.19
8,1,200,other associate related,1.00,535.29,76.50
8,1,200,first associate unrelated,0.98,546.37,102.07
8,1,200,other associate unrelated,0.96,562.50,102.00
8,1,1200,first associate related,0.98,567.94,164.65
8,1,1200,other associate related,0.98,560.94,115.37
8,1,1200,first associate unrelated,1.00,565.36,125.61
8,1,1200,other associate unrelated,0.98,573.42,129.52
8,2,200,first associate related,0.98,809.10,236.53
8,2,200,other associate related,0.98,882.98,283.91
8,2,200,first associate unrelated,1.00,839.13,204.91
8,2,200,other associate unrelated,0.98,786.33,205.77
8,2,1200,first associate related,1.00,806.52,198.24
8,2,1200,other associate related,0.96,789.60,216.90
8,2,1200,first associate unrelated,1.00,805.60,261.90
8,2,1200,other associate unrelated,1.00,801.51,205.53
9,1,200,first associate related,0.98,646.62,197.73
9,1,200,other associate related,0.94,611.42,129.95
9,1,200,first associate unrelated,0.98,677.51,186.80
9,1,200,other associate unrelated,0.98,686.33,222.92
9,1,1200,first associate related,0.96,682.27,174.65
