EprimeScript,List,Weight,Nested,Procedure,prime,target,primecond,answer,isi,lexicality
ListSession1,B1,1,,TrialProc1,TRAIT,characteristic,1,l,50,1
ListSession1,B1,1,,TrialProc1,SELF,me,1,l,50,1
ListSession1,B1,1,,TrialProc1,SCENERY,view,1,l,50,1
ListSession1,B1,1,,TrialProc1,HOPELESS,homeless,1,l,50,1
ListSession1,B1,1,,TrialProc1,BEAN,green,1,l,50,1
ListSession1,B1,1,,TrialProc1,ROAM,wander,1,l,50,1
ListSession1,B1,1,,TrialProc1,DRAPES,curtains,1,l,50,1
ListSession1,B1,1,,TrialProc1,REEF,coral,1,l,50,1
ListSession1,B1,1,,TrialProc1,SLURP,drink,1,l,50,1
ListSession1,B1,1,,TrialProc1,COLESLAW,cabbage,1,l,50,1
ListSession1,B1,1,,TrialProc1,OKAY,alright,1,l,50,1
ListSession1,B1,1,,TrialProc1,DRIP,drop,1,l,50,1
ListSession1,B1,1,,TrialProc1,BREEZEWAY,walkway,1,l,50,1
ListSession1,B1,1,,TrialProc1,CURSIVE,writing,1,l,50,1
ListSession1,B1,1,,TrialProc1,COMPACT,disc,1,l,50,1
ListSession1,B1,1,,TrialProc1,LID,cover,1,l,50,1
ListSession1,B1,1,,TrialProc1,PIOUS,holy,1,l,50,1
ListSession1,B1,1,,TrialProc1,SQUEAK,mouse,1,l,50,1
ListSession1,B1,1,,TrialProc1,INSTINCT,basic,1,l,50,1
ListSession1,B1,1,,TrialProc1,HALF,whole,1,l,50,1
ListSession1,B1,1,,TrialProc1,SILK,satin,1,l,50,1
ListSession1,B1,1,,TrialProc1,OBSTACLE,course,1,l,50,1
ListSession1,B1,1,,TrialProc1,GENEROUS,give,1,l,50,1
ListSession1,B1,1,,TrialProc1,CURIOUS,george,1,l,50,1
ListSession1,B1,1,,TrialProc1,OZONE,layer,1,l,50,1
ListSession1,B1,1,,TrialProc1,PICTURE,frame,1,l,50,1
ListSession1,B1,1,,TrialProc1,MALL,shop,1,l,50,1
ListSession1,B1,1,,TrialProc1,STUDENT,teacher,1,l,50,1
ListSession1,B1,1,,TrialProc1,EARNESTNESS,honesty,1,l,50,1
ListSession1,B1,1,,TrialProc1,MARCH,april,1,l,50,1
ListSession1,B1,1,,TrialProc1,PLUS,minus,1,l,50,1
ListSession1,B1,1,,TrialProc1,MEANINGFUL,relationship,1,l,50,1
ListSession1,B1,1,,TrialProc1,HURT,pain,1,l,50,1
ListSession1,B1,1,,TrialProc1,TOGETHER,apart,1,l,50,1
ListSession1,B1,1,,TrialProc1,MEN,women,1,l,50,1
ListSession1,B1,1,,TrialProc1,CONSTRUCTION,build,1,l,50,1
ListSession1,B1,1,,TrialProc1,FITNESS,healthy,1,l,50,1
ListSession1,B1,1,,TrialProc1,CONNECT,dots,1,l,50,1
ListSession1,B1,1,,TrialProc1,DARING,brave,1,l,50,1
ListSession1,B1,1,,TrialProc1,SNEAK,preview,1,l,50,1
ListSession1,B1,1,,TrialProc1,COMPONENTS,parts,1,l,50,1
ListSession1,B1,1,,TrialProc1,HOOT,owl,1,l,50,1
ListSession1,B1,1,,TrialProc1,DIAMETER,circle,1,l,50,1
ListSession1,B1,1,,TrialProc1,YEARS,age,1,l,50,1
ListSession1,B1,1,,TrialProc1,FAN,air,1,l,50,1
ListSession1,B1,1,,TrialProc1,SHAKE,rattle,1,l,50,1
ListSession1,B1,1,,TrialProc1,FINGER,hand,1,l,50,1
ListSession1,B1,1,,TrialProc1,SIX,seven,1,l,50,1
ListSession1,B1,1,,TrialProc1,MEAT,steak,1,l,50,1
ListSession1,B1,1,,TrialProc1,TOE,foot,1,l,50,1
ListSession1,B1,1,,TrialProc1,EMERGENCY,ambulance,1,l,50,1
ListSession1,B1,1,,TrialProc1,LANGUAGE,english,1,l,50,1
ListSession1,B1,1,,TrialProc1,CHIME,tost,1,a,50,2
ListSession1,B1,1,,TrialProc1,LOOSE,rell,1,a,50,2
ListSession1,B1,1,,TrialProc1,SHEARS,mabbit,1,a,50,2
ListSession1,B1,1,,TrialProc1,POND,forpune,1,a,50,2
ListSession1,B1,1,,TrialProc1,LIBERAL,laka,1,a,50,2
ListSession1,B1,1,,TrialProc1,GROCERY,foodles,1,a,50,2
ListSession1,B1,1,,TrialProc1,TICKET,borld,1,a,50,2
ListSession1,B1,1,,TrialProc1,MORSE,bry,1,a,50,2
ListSession1,B1,1,,TrialProc1,COOLER,delp,1,a,50,2
ListSession1,B1,1,,TrialProc1,INJECTION,eyo,1,a,50,2
ListSession1,B1,1,,TrialProc1,MIDDLE,cip,1,a,50,2
ListSession1,B1,1,,TrialProc1,GUITAR,keaf,1,a,50,2
ListSession1,B1,1,,TrialProc1,WET,gloceties,1,a,50,2
ListSession1,B1,1,,TrialProc1,FAMINE,sprine,1,a,50,2
ListSession1,B1,1,,TrialProc1,HUT,knighm,1,a,50,2
ListSession1,B1,1,,TrialProc1,BURIAL,fide,1,a,50,2
ListSession1,B1,1,,TrialProc1,EUROPE,pusic,1,a,50,2
ListSession1,B1,1,,TrialProc1,WHITE,moser,1,a,50,2
ListSession1,B1,1,,TrialProc1,CAR,rabs,1,a,50,2
ListSession1,B1,1,,TrialProc1,QUILT,anbel,1,a,50,2
ListSession1,B1,1,,TrialProc1,BULLETIN,shob,1,a,50,2
ListSession1,B1,1,,TrialProc1,SLING,fick,1,a,50,2
ListSession1,B1,1,,TrialProc1,FALL,coab,1,a,50,2
ListSession1,B1,1,,TrialProc1,VIOLENCE,cenler,1,a,50,2
ListSession1,B1,1,,TrialProc1,SNOB,stome,1,a,50,2
ListSession1,B1,1,,TrialProc1,CONSTITUTION,nefs,1,a,50,2
ListSession1,B1,1,,TrialProc1,REMAIN,fode,1,a,50,2
ListSession1,B1,1,,TrialProc1,WICKER,strile,1,a,50,2
ListSession1,B1,1,,TrialProc1,BLUR,trean,1,a,50,2
ListSession1,B1,1,,TrialProc1,CHEMIST,silpy,1,a,50,2
ListSession1,B1,1,,TrialProc1,WINGS,rax,1,a,50,2
ListSession1,B1,1,,TrialProc1,CUP,plave,1,a,50,2
ListSession1,B1,1,,TrialProc1,SAINT,neam,1,a,50,2
ListSession1,B1,1,,TrialProc1,SALT,neriod,1,a,50,2
ListSession1,B1,1,,TrialProc1,WIN,cin't ,1,a,50,2
ListSession1,B1,1,,TrialProc1,INTROVERT,fizza,1,a,50,2
ListSession1,B1,1,,TrialProc1,LEARN,quiat,1,a,50,2
ListSession1,B1,1,,TrialProc1,SNUGGLE,klanbet,1,a,50,2
ListSession1,B1,1,,TrialProc1,LITTER,agypt,1,a,50,2
ListSession1,B1,1,,TrialProc1,COMPASS,meach,1,a,50,2
ListSession1,B1,1,,TrialProc1,CYCLONE,slinny,1,a,50,2
ListSession1,B1,1,,TrialProc1,BIKE,uche,1,a,50,2
ListSession1,B1,1,,TrialProc1,ADORABLE,bights,1,a,50,2
ListSession1,B1,1,,TrialProc1,POLICEMAN,colobne,1,a,50,2
ListSession1,B1,1,,TrialProc1,WEATHER,smort,1,a,50,2
ListSession1,B1,1,,TrialProc1,CHOICE,spling,1,a,50,2
ListSession1,B1,1,,TrialProc1,ASLEEP,tubtract,1,a,50,2
ListSession1,B1,1,,TrialProc1,WAIST,stoy,1,a,50,2
ListSession1,B1,1,,TrialProc1,CHEMISTRY,stram,1,a,50,2
ListSession1,B1,1,,TrialProc1,BARGAIN,baucer,1,a,50,2
ListSession1,B1,1,,TrialProc1,STOMACH,peady,1,a,50,2
ListSession1,B1,1,,TrialProc1,FOLLY,cleck,1,a,50,2
ListSession1,B1,1,,TrialProc1,SEAM,thread,2,l,50,1
ListSession1,B1,1,,TrialProc1,POOR,lonely,2,l,50,1
ListSession1,B1,1,,TrialProc1,DINER,supper,2,l,50,1
ListSession1,B1,1,,TrialProc1,HITCH,trailer,2,l,50,1
ListSession1,B1,1,,TrialProc1,WATERFALL,beautiful,2,l,50,1
ListSession1,B1,1,,TrialProc1,MORTGAGE,rent,2,l,50,1
ListSession1,B1,1,,TrialProc1,COMMUNICATION,radio,2,l,50,1
ListSession1,B1,1,,TrialProc1,WOOD,log,2,l,50,1
ListSession1,B1,1,,TrialProc1,NIGHTGOWN,sexy,2,l,50,1
ListSession1,B1,1,,TrialProc1,GULL,freedom,2,l,50,1
ListSession1,B1,1,,TrialProc1,SCHEME,idea,2,l,50,1
ListSession1,B1,1,,TrialProc1,FAITH,jesus,2,l,50,1
ListSession1,B1,1,,TrialProc1,EVICT,apartment,2,l,50,1
ListSession1,B1,1,,TrialProc1,REVENGE,kill,2,l,50,1
ListSession1,B1,1,,TrialProc1,HEAT,florida,2,l,50,1
ListSession1,B1,1,,TrialProc1,ESSENCE,meaning,2,l,50,1
ListSession1,B1,1,,TrialProc1,DULL,knife,2,l,50,1
ListSession1,B1,1,,TrialProc1,HAY,stack,2,l,50,1
ListSession1,B1,1,,TrialProc1,ACHIEVEMENT,success,2,l,50,1
ListSession1,B1,1,,TrialProc1,PRICELESS,valuable,2,l,50,1
ListSession1,B1,1,,TrialProc1,ANTIQUE,furniture,2,l,50,1
ListSession1,B1,1,,TrialProc1,CHEAT,fail,2,l,50,1
ListSession1,B1,1,,TrialProc1,CROWD,mob,2,l,50,1
ListSession1,B1,1,,TrialProc1,ADVISE,advice,2,l,50,1
ListSession1,B1,1,,TrialProc1,UNDERSTAND,misunderstand,2,l,50,1
ListSession1,B1,1,,TrialProc1,MORAL,values,2,l,50,1
ListSession1,B1,1,,TrialProc1,SPAN,wide,2,l,50,1
ListSession1,B1,1,,TrialProc1,CAUSE,why,2,l,50,1
ListSession1,B1,1,,TrialProc1,POWDER,face,2,l,50,1
ListSession1,B1,1,,TrialProc1,DIFFICULTY,trouble,2,l,50,1
ListSession1,B1,1,,TrialProc1,BACKWARD,movement,2,l,50,1
ListSession1,B1,1,,TrialProc1,BEDROOM,bathroom,2,l,50,1
ListSession1,B1,1,,TrialProc1,NURSE,patient,2,l,50,1
ListSession1,B1,1,,TrialProc1,EYES,sight,2,l,50,1
ListSession1,B1,1,,TrialProc1,MONTHLY,annually,2,l,50,1
ListSession1,B1,1,,TrialProc1,ARTIST,draw,2,l,50,1
ListSession1,B1,1,,TrialProc1,DONATION,gift,2,l,50,1
ListSession1,B1,1,,TrialProc1,CLEANING,dust,2,l,50,1
ListSession1,B1,1,,TrialProc1,MIMIC,fake,2,l,50,1
ListSession1,B1,1,,TrialProc1,DISHONEST,honest,2,l,50,1
ListSession1,B1,1,,TrialProc1,CHURCH,religion,2,l,50,1
ListSession1,B1,1,,TrialProc1,THIN,small,2,l,50,1
ListSession1,B1,1,,TrialProc1,ATTEMPT,murder,2,l,50,1
ListSession1,B1,1,,TrialProc1,COOK,raw,2,l,50,1
ListSession1,B1,1,,TrialProc1,CHROMOSOMES,sex,2,l,50,1
ListSession1,B1,1,,TrialProc1,BUILDING,tall,2,l,50,1
ListSession1,B1,1,,TrialProc1,BELT,strap,2,l,50,1
ListSession1,B1,1,,TrialProc1,VENT,anger,2,l,50,1
ListSession1,B1,1,,TrialProc1,GO,leave,2,l,50,1
ListSession1,B1,1,,TrialProc1,SAUSAGE,italian,2,l,50,1
ListSession1,B1,1,,TrialProc1,SUPPOSE,assume,2,l,50,1
ListSession1,B1,1,,TrialProc1,UMPIRE,referee,2,l,50,1
ListSession1,B1,1,,TrialProc1,CHIPS,clored,2,a,50,2
ListSession1,B1,1,,TrialProc1,STOVE,kun,2,a,50,2
ListSession1,B1,1,,TrialProc1,LAST,atia,2,a,50,2
ListSession1,B1,1,,TrialProc1,TASTY,togger,2,a,50,2
ListSession1,B1,1,,TrialProc1,GALLOP,fap,2,a,50,2
ListSession1,B1,1,,TrialProc1,DILIGENCE,nush,2,a,50,2
ListSession1,B1,1,,TrialProc1,RADIATOR,charce,2,a,50,2
ListSession1,B1,1,,TrialProc1,HANGER,mositive,2,a,50,2
ListSession1,B1,1,,TrialProc1,SWIMMER,spissors,2,a,50,2
ListSession1,B1,1,,TrialProc1,CRITERION,grouf,2,a,50,2
ListSession1,B1,1,,TrialProc1,STYLE,tepper,2,a,50,2
ListSession1,B1,1,,TrialProc1,AROUND,betner,2,a,50,2
ListSession1,B1,1,,TrialProc1,CELLAR,geath,2,a,50,2
ListSession1,B1,1,,TrialProc1,COUGAR,pasketlall,2,a,50,2
ListSession1,B1,1,,TrialProc1,SOLID,smi,2,a,50,2
ListSession1,B1,1,,TrialProc1,OBSCURE,cotlon,2,a,50,2
ListSession1,B1,1,,TrialProc1,REMIND,humger,2,a,50,2
ListSession1,B1,1,,TrialProc1,GEOMETRY,yeal,2,a,50,2
ListSession1,B1,1,,TrialProc1,HUSK,roo,2,a,50,2
ListSession1,B1,1,,TrialProc1,BARBECUE,mape,2,a,50,2
ListSession1,B1,1,,TrialProc1,CHORUS,traduation,2,a,50,2
