"Occurences","Word","Length","Freq_HAL","Log_Freq_HAL","SUBTLWF","LgSUBTLWF","SUBTLCD","LgSUBTLCD","Ortho_N","Phono_N","Phono_N_H","OG_N","OG_N_H","BG_Sum","BG_Mean","NPhon","POS","I_Mean_RT","I_SD","Obs","I_Mean_Accuracy","I_NMG_Mean_RT"
"1","bind","4","6800","8.82","3.35","2.24","1.68","2.15","15","20","20","8","8","19195","6398.33","4","NN|VB","696.22","217.49","26","0.94","638.08"
"1","bounce","6","4232","8.35","9.84","2.70","4.09","2.54","2","3","3","1","1","13698","2739.60","4","VB|NN","564.71","91.69","27","0.97","607.19"
"1","brush","5","5701","8.65","14.16","2.86","6.96","2.77","3","4","4","3","3","8312","2078.00","4","NN|VB","639.38","230.45","28","1.00","558.04"
"1","carve","5","861","6.76","3.10","2.20","1.61","2.13","6","10","10","2","2","13715","3428.75","4","VB","710.14","260.38","24","0.88","659.88"
"1","catch","5","22587","10.03","135.51","3.84","44.89","3.58","8","31","31","7","7","15973","3993.25","3","VB|NN","549.06","154.94","27","1.00","608.33"
"1","chop","4","2331","7.75","13.61","2.84","5.40","2.66","10","21","21","4","4","7284","2428.00","3","NN|VB","639.79","194.59","27","1.00","651.33"
"1","clap","4","932","6.84","4.73","2.38","1.81","2.18","11","14","14","8","8","6951","2317.00","4","VB|NN","612.24","259.09","26","1.00","626.38"
"1","clean","5","36257","10.50","121.24","3.79","41.19","3.54","3","15","15","2","2","18091","4522.75","4","JJ|VB|RB","582.83","172.49","27","1.00","615.93"
"1","click","5","20057","9.91","6.41","2.52","2.62","2.34","8","16","16","6","6","13293","3323.25","4","NN|VB","670.26","275.79","29","1.00","614.97"
"1","cycle","5","20451","9.93","5.88","2.48","2.80","2.37","1","8","8","0","0","8212","2053.00","4","NN|VB","556.65","141.06","28","1.00","651.61"
"1","dance","5","26125","10.17","148.04","3.88","29.39","3.39","3","8","8","2","2","13656","3414.00","4","NN|VB","530.32","114.07","25","0.97","572.96"
"1","dig","3","8929","9.10","46.22","3.37","14.94","3.10","20","26","26","17","17","5382","2691.00","3","VB|NN","574.35","137.06","28","0.97","611.71"
"1","dunk","4","1068","6.97","2.59","2.12","1.10","1.97","14","11","11","9","9","4535","1511.67","4","VB|NN","715.50","289.80","28","0.73","631.00"
"1","flee","4","1506","7.32","4.57","2.37","1.99","2.23","10","20","23","6","9","9355","3118.33","3","VB","680.30","321.15","25","0.97","588.00"
"1","fold","4","4906","8.50","8.63","2.64","3.81","2.51","12","35","39","8","8","4533","1511.00","4","NN|VB","598.31","240.94","26","0.97","574.46"
"1","gesture","7","1960","7.58","7.43","2.58","3.85","2.51","1","2","2","1","1","35115","5852.50","5","NN","630.09","113.33","27","0.97","665.00"
"1","glide","5","1428","7.26","2.35","2.08","0.79","1.83","4","9","9","3","3","13282","3320.50","4","VB|NN","650.27","187.87","28","0.97","627.11"
"1","grab","4","10230","9.23","70.86","3.56","28.52","3.38","9","11","11","6","6","9447","3149.00","4","VB|NN","601.41","134.00","28","0.97","613.04"
"1","grip","4","7900","8.97","9.69","2.69","4.76","2.60","8","16","16","7","7","8641","2880.33","4","NN|VB","662.33","233.32","29","1.00","601.90"
"1","hike","4","2398","7.78","6.53","2.52","3.00","2.40","11","31","34","11","11","4435","1478.33","3","VB|NN","651.22","338.94","27","0.97","550.96"
"1","hop","3","4485","8.41","19.16","2.99","7.77","2.81","21","26","26","16","16","3920","1960.00","3","NN|VB","607.61","194.30","28","0.97","561.68"
"1","hug","3","3801","8.24","19.33","2.99","8.29","2.84","20","27","27","15","15","1268","634.00","3","NN|VB","559.81","235.69","27","0.94","537.93"
"1","jog","3","656","6.49","2.41","2.09","1.18","2.00","17","18","18","11","11","1495","747.50","3","VB","614.47","185.97","28","0.97","583.79"
"1","jump","4","26855","10.20","69.82","3.55","23.52","3.30","7","9","9","7","7","3357","1119.00","4","NN|VB","626.32","308.58","28","0.97","576.29"
"1","kick","4","19877","9.90","73.41","3.57","25.79","3.34","12","33","33","11","11","7632","2544.00","3","NN|VB","614.47","232.87","26","0.94","639.88"
"1","kneel","5","733","6.60","5.33","2.44","2.18","2.26","3","37","43","3","3","10845","2711.25","3","VB|NN","731.84","287.66","26","0.97","745.62"
"1","knock","5","6912","8.84","64.69","3.52","24.89","3.32","1","41","41","1","1","5296","1324.00","3","VB|NN","684.40","231.21","28","0.97","595.21"
"1","leap","4","6090","8.71","6.67","2.53","3.16","2.42","10","38","38","9","9","11396","3798.67","3","NN|VB","565.66","122.34","27","0.94","574.74"
"1","limp","4","1596","7.38","3.67","2.27","1.81","2.18","9","9","9","4","4","9093","3031.00","4","JJ|NN|VB","613.39","253.83","26","0.94","595.15"
"1","march","5","74695","11.22","24.02","3.09","8.73","2.87","5","12","12","3","3","13715","3428.75","4","NN|VB","613.71","204.04","27","1.00","574.52"
"1","pat","3","17025","9.74","18.29","2.97","4.26","2.55","30","39","39","21","21","10422","5211.00","3","VB|NN|JJ|RB","634.78","175.77","26","0.97","601.77"
"1","pedal","5","3243","8.08","2.04","2.02","1.01","1.93","3","18","26","1","5","18319","4579.75","4","NN|VB","619.00","180.93","28","0.97","657.96"
"1","peel","4","2813","7.94","5.35","2.44","2.25","2.28","10","52","58","8","11","8650","2883.33","3","VB|NN","626.27","193.76","27","1.00","559.15"
"1","pinch","5","1992","7.60","6.12","2.50","3.11","2.42","5","9","9","4","4","22293","5573.25","4","NN|VB","663.73","204.23","26","1.00","598.65"
"1","pluck","5","532","6.28","2.31","2.08","1.12","1.98","2","7","7","1","1","5563","1390.75","4","VB|NN","695.89","157.20","26","0.85","585.19"
"1","poke","4","2583","7.86","5.84","2.48","2.73","2.36","14","31","31","11","11","4430","1476.67","3","NN|VB","703.84","297.46","28","0.97","568.25"
"1","polish","6","6046","8.71","9.67","2.69","3.87","2.51","2","2","2","1","1","18884","3776.80","5","NN|VB","635.47","255.73","26","0.97","640.88"
"1","pull","4","28190","10.25","146.45","3.87","43.86","3.57","15","28","28","6","6","6943","2314.33","3","VB|NN","646.45","234.57","27","1.00","570.96"
"1","punch","5","9481","9.16","29.69","3.18","11.24","2.98","5","8","8","5","5","9819","2454.75","4","NN|VB","655.97","223.54","25","0.94","580.96"
"1","push","4","19347","9.87","70.55","3.56","25.07","3.32","11","12","12","4","4","6524","2174.67","3","VB|NN","522.32","92.71","26","1.00","584.46"
"1","rub","3","4231","8.35","15.45","2.90","7.02","2.77","17","24","24","13","13","2135","1067.50","3","VB|NN","544.55","182.55","28","0.91","549.57"
"1","run","3","223338","12.32","350.55","4.25","72.28","3.78","19","40","40","15","15","4568","2284.00","3","VB|NN","596.65","209.58","22","1.00","559.95"
"1","rush","4","27949","10.24","31.41","3.20","14.68","3.09","13","17","17","7","7","7095","2365.00","3","NN|VB","628.17","298.70","27","0.97","550.15"
"1","scoop","5","2577","7.85","5.67","2.46","2.50","2.32","5","10","10","5","5","9998","2499.50","4","NN|VB","641.60","274.87","24","0.91","702.96"
"1","scrape","6","1140","7.04","4.12","2.32","2.31","2.29","1","2","2","0","0","14272","2854.40","5","NN|VB","751.85","295.94","25","0.97","723.40"
"1","scratch","7","8067","9.00","18.84","2.98","8.75","2.87","0","4","4","0","0","21545","3590.83","5","NN|VB","657.71","221.31","27","1.00","690.41"
"1","scrub","5","875","6.77","6.24","2.50","2.58","2.34","2","3","3","1","1","5544","1386.00","5","NN|VB","614.65","169.99","28","1.00","678.61"
